Country,State (US) -province (CA) -Area WRLD,Type and operator,Field,County,Start date ,"Area, acres",No. Well prod.,No. Well inj.,Pay zone ,Formation,EOR type,EOR short,Porosity perc.,"Permeability, md","Depth, ft M21","Gravity, API","Oil, cp",Satur. perc. start,Satur. perc. end,"Oil, gradesF",Prev. Prod. ,Proj- matur. ,"tot. Prod., b-d","enh. Prod., b-d",Proj- eval. ,Profit,proj scope
CANADA,Alta.,Husky Oil,Rainbow KR B Pool,B,1984,2500,69,11,Keg River,Dolo.,HC MISCIBLE,HC MISCIBLE,8,300,6000,38,0.83,52,23,188,WF,HF,8810,8810,Succ.,Yes,RW
CANADA,Alta.,Husky Oil,Rainbow South ,,1994,478,6,3,Keg River,LS,HC MISCIBLE,HC MISCIBLE,9.1,50,6400,43,0.39,67,50,195,WF,Term.,189,189,Disc.,Yes,RW
CANADA,Alta.,Husky Oil,Rainbow South ,Pool,1995,240,3,2,Keg River,LS,HC MISCIBLE,HC MISCIBLE,8,50,6330,44,0.4,67,50,195,WF,Term.,19,19,Disc.,Yes,RW
CANADA,Alta.,Husky Oil,Rainbow KR F Pool,,1996,1920,38,11,Keg River,Dolo.,HC MISCIBLE,HC MISCIBLE,6,1000,6000,48,0.25,50,35,180,WF/GI,JS,3200,3200,Succ.,Yes,RW
CANADA,Alta.,Imperial Oil,Pembina G Pool,Pool,1989,328,2,,Nisku,Dolo.,HC MISCIBLE,HC MISCIBLE,8,900,9541,43.2,0.33,80,5,204,Prim.,NC,409,409,Succ.,Yes,FW
CANADA,Alta.,Imperial Oil,Pembina K Pool,F,1984,126,1,,Nisku,Dolo.,HC MISCIBLE,HC MISCIBLE,12.7,2020,9469,43.6,0.37,82,5,198,Prim.,NC,208,208,Succ.,Yes,FW
CANADA,Alta.,Imperial Oil,Pembina L Pool,,1985,625,4,1,Nisku,Dolo.,HC MISCIBLE,HC MISCIBLE,10.5,1060,9415,40.9,0.42,88,5,199,WF,NC,667,667,Succ.,Yes,FW
CANADA,Alta.,Imperial Oil,Pembina M Pool,,1983,192,2,1,Nisku,Dolo.,HC MISCIBLE,HC MISCIBLE,9,540,9333,41.1,0.14,93,5,198,Prim.,NC,472,472,Succ.,Yes,FW
CANADA,Alta.,Imperial Oil,Pembina O Pool,,1983,346,3,,Nisku,Dolo.,HC MISCIBLE,HC MISCIBLE,11.8,3100,9332,43.4,0.32,84,5,190,Prim,NC,198,198,Succ.,Yes,FW
CANADA,Alta.,Imperial Oil,Pembina P Pool,,1983,420,3,1,Nisku,Dolo.,HC MISCIBLE,HC MISCIBLE,10.3,2400,9531,45.4,0.36,87,5,200,Prim.,NC,340,340,Succ.,Yes,FW
CANADA,Alta.,Imperial Oil,Pembina Q Pool,,1985,301,1,,Nisku,Dolo.,HC MISCIBLE,HC MISCIBLE,9.8,1970,9421,41.3,0.42,91,5,196,Prim.,NC,220,220,Succ.,Yes,FW
CANADA,Alta.,Imperial Oil,Wizard Lake ,,1969,2725,20,,Leduc,Dolo.,HC MISCIBLE,HC MISCIBLE,10.5,1375,6500,38,0.54,93,12,167,Prim.,NC,346,346,Succ.,Yes,FW
CANADA,Alta.,Imperial Oil,Rainbow FF Pool,,1971,102,1,,Keg River,Dolo.,HC MISCIBLE,HC MISCIBLE,7.3,180,4160,37,0.59,90,5,188,Prim.,NC,17,17,Succ.,Yes,RW
CANADA,Alta.,Imperial Oil,Rainbow T Pool,,1969,222,2,,Keg River,Dolo.,HC MISCIBLE,HC MISCIBLE,8.6,320,4330,40,0.69,88,5,188,Prim.,NC,161,161,Succ.,Yes,RW
CANADA,Alta.,Imperial Oil,Rainbow Z Pool,,1971,221,2,1,Keg River,Dolo.,HC MISCIBLE,HC MISCIBLE,4.25,160,4040,38,0.547,73.5,5,190,Prim.,NC,418,418,Succ.,Yes,RW
CANADA,Sask.,CNRL,Tangleflags,,1987,285,10,10,Lloydminster,s,STEAM,STEAM,32.5,4000,1480,13,13000,90,38,66,Prim.,TBD,5000,5000,Succ.,Yes,TBD
CANADA,Alta.,CNRL,Primrose,,1985,160000,750,,Clearwater,s,STEAM,STEAM,32,3000,1600,11,170000,60,30,60,,TBD,70000,70000,Succ.,Yes,TBD
CANADA,Alta.,Cenovus,Foster Creek,Alta.,1997,,27,27,McMurray,s,STEAM,STEAM,33,7000,1600,10,500000,85,,55,,JS,35000,35000,,,
CANADA,Alta.,Cenovus,Christian Lake,Alta.,2003,,6,6,McMurray,s,STEAM,STEAM,,,,,,,,,,JS,7000,7000,,,
CANADA,Sask.,Husky Oil,Pikes  Peak,Sask.,1981,400,102,27,Waseca,us,STEAM,STEAM,33,7500,1640,12,25000,85,,70,,HF,7500,7500,Succ.,Yes,RW
CANADA,Alta.,Imperial Oil,Cold Lake,Alta.,1964,,4000,4000,Clearwater,us,STEAM,STEAM,35,1500,1509,10.2,100000,70,,55,,HF,154000,154000,Succ.,,FW
CANADA,Alta.,Imperial Oil,Cold Lake,(Enhanced,2002,32,20,8,Clearwater,us,STEAM,STEAM,32,2000,1395,10,200000,70,,55,CS,HF,,,Prom.,,p
CANADA,Alta.,Shell Canada,Orion,43715,2007,5120,22,22,Clearwater,s,STEAM,STEAM,33,2000,1350,10,75000,70,10,60,SAGD,JS,10000,,TETT,,Exp. L
CANADA,Alta.,Shell Canada,Peace River,Alta.,1979,4900,97,109,Bluesky,s,STEAM,STEAM,26.5,3000,1800,8,220000,0.8,0.54,63,"SF, SD, SS",HF,13000,13000,Succ.,Marginal,"P, Exp. L"
CANADA,Alta.,Shell Canada,Peace River,Alta.,1986,3000,48,48,Cretaceous-Bullhead,s,STEAM,STEAM,28.5,1050,1800,8,100000,80,,62,,JS,5000,5000,Succ.,,Exp. L
CANADA,Sask.,Talisman,Turner Valley,Sask.,2001,,,,,,NITROGEN INMISCIBLE,STEAM,,,,,,,,,,,,,,,
CANADA,Alta.,CNRL,Pelican Lake,Alta.,2006,187000,1000,200,Wabiskaw,s,POLYMER,CHEMICAL,29,1250,1500,13,1250,70,40,60,Prim.,TBD,40000,20000,Succ.,Yes,TBD
CANADA,Alta.,Cenovus,Pelican Lake,Alta.,2004,397000,445,280,Wabiskaw,s,POLYMER,CHEMICAL,30,2750,1200,14.5,1300,75,25,63,WF,HF,20105,5000,Succ.,,RW
BRAZIL,Bahia,Petrobras,Buracica,1991,1991,1670,,7,Sergi,s,CO2 INMISCIBLE,CO2,22,,1970,35,10.5,,,120,Prim/WF,NC,,,Succ.,Yes,RW
BRAZIL,Bahia,Petrobras,Rio Pojuca,Pojuca,1999,,,1,Agua Grande,s,CO2 MISCIBLE,CO2,,,5900,36,2,,,183,Prim.,HF,,,TETT,,p
BRAZIL,Bahia,Petrobras,Miranga,43808,2009,,27,10,Catu-1,s,CO2 MISCIBLE,CO2,20,112,4000,39.4,1.15,,,156,WF,JS,,,TETT,,p
BRAZIL,Brazil,Petrobras,Carmopolis,43618,2002,,45,10,Carrnopolis,s/Congl.,MICROBIAL,CHEMICAL,17,200,1970,23,28,,,122,WF,NC,,,Prom.,,p
BRAZIL,Brazil,Petrobras,Estreito,43808,2009,,176,48,Acu,s,STEAM,STEAM,25,4000,1150,15,1700,,,100,Prim.,JS,5700,,TETT,,FW
BRAZIL,Espirito Santo,Petrobras,Fazenda Alegre,Alegre,2001,1255,59,,Urucutuca,s,STEAM,STEAM,27,2750,2300,13,825,76,,124,Prim.,HF,9500,9500,Succ.,Yes,FW
BRAZIL,Rio Grande do Norte (RN),Petrobras,Estreito,1984,1984,,700,,Acu,s,STEAM,STEAM,25,4000,1150,15,1700,,,100,Prim.,NC,5700,5700,Succ.,Yes,FW
BRAZIL,Rio Grande do Norte (RN),Petrobras,Alto Do Rodriguez,do,1984,,500,,Acu,s,STEAM,STEAM,25,3000,1480,15,2500,,,100,Prim.,NC,2500,2500,Succ.,Yes,FW
BRAZIL,Sergipe,Petrobras,Carmopolis,1978,1978,,200,,Barra ltiuba/,s/Congl.,STEAM,STEAM,22,200,2460,21,500,,,122,,NC,3860,3860,Succ.,Yes,FW
EGYPT,Cairo,Scimitar,lssaran ,,2004,,180,22,300,Dolo.,CYCLIC STEAM,STEAM,21,20,700,10,72,80,,110,Prim.,JS,4000,3100,Succ.,Prof.,FW
GERMANY,Grafschaft Bentheim,Wintershall Holding AG ,"Emlichheim,",Blk.,2007,55,8,1,Valanginian,us,STEAM,STEAM,30,7650,2600,25,175,50,50,100,HW,JS,500,500,Prom.,Good,FW
GERMANY,Grafschaft Bentheim,Wintershall Holding AG ,"Emlichheim,",Blk.,2005,22,4,1,Valanginian,us,STEAM,STEAM,30,7650,2600,25,175,50,50,100,WF,HF,390,390,Succ.,Good,FW
GERMANY,Grafschaft Bentheim,Wintershall Holding AG ,"Emlichheim,",Blk.,2001,50,7,1,Valanginian,us,STEAM,STEAM,30,7650,2600,25,175,50,50,100,HW,HF,350,345,Succ.,Good,FW
